Date,ALLSKY_KT,ALLSKY_SRF_ALB,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,month_sin,month_cos,time_idx,Seconds
1984-01-01,0.412729,0.253969,1.457835,2.355387,0.500000,0.866025,0,441763.000000
1984-02-01,0.446781,0.317760,2.415914,3.657745,0.866025,0.500000,1,444441.000000
1984-03-01,0.460247,0.214110,3.416190,5.238439,1.000000,0.000000,2,446947.000000
1984-04-01,0.414414,0.137741,3.859410,6.342333,0.866025,-0.500000,3,449625.000000
1984-05-01,0.513560,0.155781,5.453387,7.177468,0.500000,-0.866025,4,452217.000000
1984-06-01,0.520226,0.153922,5.789533,7.439940,0.000000,-1.000000,5,454896.000000
1984-07-01,0.550749,0.149344,5.855887,7.113626,-0.500000,-0.866025,6,457488.000000
1984-08-01,0.507968,0.143521,4.820361,6.203026,-0.866025,-0.500000,7,460166.000000
1984-09-01,0.504111,0.141786,4.123167,5.197603,-1.000000,-0.000000,8,462844.000000
1984-10-01,0.487075,0.161403,2.672577,3.733977,-0.866025,0.500000,9,465436.000000
1984-11-01,0.484360,0.160840,1.994997,2.562260,-0.500000,0.866025,10,468115.000000
1984-12-01,0.375642,0.269774,1.229145,1.911723,-0.000000,1.000000,11,470707.000000
1985-01-01,0.446770,0.298213,1.740477,2.493890,0.500000,0.866025,12,473385.000000
1985-02-01,0.458248,0.241145,2.433143,3.625075,0.866025,0.500000,13,476064.000000
1985-03-01,0.457193,0.169890,3.154297,5.002590,1.000000,0.000000,14,478483.000000
1985-04-01,0.438019,0.137580,4.149933,6.446510,0.866025,-0.500000,15,481161.000000
1985-05-01,0.491835,0.155959,5.236526,7.030139,0.500000,-0.866025,16,483753.000000
1985-06-01,0.485698,0.154095,5.364117,7.327293,0.000000,-1.000000,17,486432.000000
1985-07-01,0.556237,0.149009,6.113529,7.392513,-0.500000,-0.866025,18,489024.000000
1985-08-01,0.517166,0.141902,5.161294,6.389945,-0.866025,-0.500000,19,491702.000000
1985-09-01,0.522847,0.142578,4.503293,5.108370,-1.000000,-0.000000,20,494380.000000
1985-10-01,0.487248,0.161403,2.729248,3.680765,-0.866025,0.500000,21,496972.000000
1985-11-01,0.389050,0.139655,1.549707,2.600523,-0.500000,0.866025,22,499651.000000
1985-12-01,0.430508,0.253216,1.452274,2.058377,-0.000000,1.000000,23,502243.000000
1986-01-01,0.411679,0.271625,1.529090,2.494065,0.500000,0.866025,24,504921.000000
1986-02-01,0.444297,0.225011,2.279707,3.489536,0.866025,0.500000,25,507600.000000
1986-03-01,0.436083,0.191720,2.683894,4.636503,1.000000,0.000000,26,510019.000000
1986-04-01,0.476782,0.145602,4.517917,6.158070,0.866025,-0.500000,27,512697.000000
1986-05-01,0.485940,0.152687,5.158677,6.908503,0.500000,-0.866025,28,515289.000000
1986-06-01,0.474838,0.154480,4.957027,7.032223,0.000000,-1.000000,29,517968.000000
1986-07-01,0.485629,0.150554,5.031642,7.033235,-0.500000,-0.866025,30,520560.000000
1986-08-01,0.532035,0.141878,5.436452,6.157248,-0.866025,-0.500000,31,523238.000000
1986-09-01,0.522722,0.142425,4.418733,5.123160,-1.000000,-0.000000,32,525916.000000
1986-10-01,0.508595,0.157173,2.962116,3.761645,-0.866025,0.500000,33,528508.000000
1986-11-01,0.460243,0.161246,1.820607,2.562373,-0.500000,0.866025,34,531187.000000
1986-12-01,0.386826,0.269424,1.285468,1.953132,-0.000000,1.000000,35,533779.000000
1987-01-01,0.400970,0.265348,1.380413,2.416526,0.500000,0.866025,36,536457.000000
1987-02-01,0.470993,0.230540,2.459104,3.606818,0.866025,0.500000,37,539136.000000
1987-03-01,0.475635,0.217701,3.514074,5.299948,1.000000,0.000000,38,541555.000000
1987-04-01,0.453326,0.143071,4.314170,6.654450,0.866025,-0.500000,39,544233.000000
1987-05-01,0.453600,0.156876,4.551939,7.333310,0.500000,-0.866025,40,546825.000000
1987-06-01,0.504774,0.153602,5.694433,7.442670,0.000000,-1.000000,41,549504.000000
1987-07-01,0.591775,0.148449,6.231810,7.176948,-0.500000,-0.866025,42,552096.000000
1987-08-01,0.517848,0.141901,5.162161,6.077626,-0.866025,-0.500000,43,554774.000000
1987-09-01,0.523387,0.142498,4.467467,5.088957,-1.000000,-0.000000,44,557452.000000
1987-10-01,0.486810,0.161403,2.765077,3.686474,-0.866025,0.500000,45,560044.000000
1987-11-01,0.387133,0.165153,1.432473,2.590443,-0.500000,0.866025,46,562723.000000
1987-12-01,0.326810,0.237555,1.065542,1.962629,-0.000000,1.000000,47,565315.000000
1988-01-01,0.411611,0.253173,1.419929,2.271368,0.500000,0.866025,48,567993.000000
1988-02-01,0.427670,0.209720,2.215221,3.570879,0.866025,0.500000,49,570672.000000
1988-03-01,0.420344,0.192180,3.021419,5.046829,1.000000,0.000000,50,573177.000000
1988-04-01,0.438453,0.137370,4.114290,6.357993,0.866025,-0.500000,51,575856.000000
1988-05-01,0.473330,0.156722,5.033442,7.193845,0.500000,-0.866025,52,578448.000000
1988-06-01,0.532986,0.155428,5.928320,7.584657,0.000000,-1.000000,53,581126.000000
1988-07-01,0.607125,0.147783,6.765681,7.312352,-0.500000,-0.866025,54,583718.000000
1988-08-01,0.589349,0.142001,5.853939,6.530852,-0.866025,-0.500000,55,586396.000000
1988-09-01,0.480402,0.140524,3.650133,5.135897,-1.000000,-0.000000,56,589075.000000
1988-10-01,0.491515,0.130718,2.795342,3.810474,-0.866025,0.500000,57,591667.000000
1988-11-01,0.389507,0.139678,1.561160,2.642820,-0.500000,0.866025,58,594345.000000
1988-12-01,0.305429,0.235806,0.983742,1.916403,-0.000000,1.000000,59,596937.000000
1989-01-01,0.438614,0.268237,1.750781,2.452303,0.500000,0.866025,60,599616.000000
1989-02-01,0.427933,0.209880,2.147596,3.453036,0.866025,0.500000,61,602294.000000
1989-03-01,0.459182,0.140543,3.273658,5.017519,1.000000,0.000000,62,604713.000000
1989-04-01,0.420969,0.137437,3.899627,6.179323,0.866025,-0.500000,63,607392.000000
1989-05-01,0.461914,0.156996,4.714935,7.267048,0.500000,-0.866025,64,609984.000000
1989-06-01,0.462803,0.157220,4.927593,7.672937,0.000000,-1.000000,65,612662.000000
1989-07-01,0.532360,0.148616,5.849232,7.496461,-0.500000,-0.866025,66,615254.000000
1989-08-01,0.509826,0.142405,5.014419,6.258723,-0.866025,-0.500000,67,617932.000000
1989-09-01,0.479790,0.141084,3.717153,5.197073,-1.000000,-0.000000,68,620611.000000
1989-10-01,0.495178,0.130921,2.895465,3.870042,-0.866025,0.500000,69,623203.000000
1989-11-01,0.457483,0.139862,1.837287,2.641570,-0.500000,0.866025,70,625881.000000
1989-12-01,0.386826,0.269424,1.289613,1.938894,-0.000000,1.000000,71,628473.000000
1990-01-01,0.469859,0.261084,1.850532,2.420216,0.500000,0.866025,72,631152.000000
1990-02-01,0.488578,0.209898,2.510632,3.354957,0.866025,0.500000,73,633830.000000
1990-03-01,0.471446,0.147278,3.454419,4.786965,1.000000,0.000000,74,636249.000000
1990-04-01,0.409924,0.138281,3.600960,6.215323,0.866025,-0.500000,75,638928.000000
1990-05-01,0.470228,0.156488,5.022429,7.287671,0.500000,-0.866025,76,641520.000000
1990-06-01,0.533426,0.155141,5.945583,7.666957,0.000000,-1.000000,77,644198.000000
1990-07-01,0.584914,0.147903,6.503087,7.531803,-0.500000,-0.866025,78,646790.000000
1990-08-01,0.554179,0.141962,5.607868,6.650668,-0.866025,-0.500000,79,649468.000000
1990-09-01,0.479777,0.144762,3.699537,5.256867,-1.000000,-0.000000,80,652147.000000
1990-10-01,0.518208,0.157174,3.043177,3.762542,-0.866025,0.500000,81,654739.000000
1990-11-01,0.416238,0.224563,1.567593,2.523500,-0.500000,0.866025,82,657417.000000
1990-12-01,0.326810,0.237555,1.063335,1.927361,-0.000000,1.000000,83,660009.000000
1991-01-01,0.412358,0.254140,1.450503,2.306303,0.500000,0.866025,84,662688.000000
1991-02-01,0.442778,0.243101,2.339571,3.602111,0.866025,0.500000,85,665366.000000
1991-03-01,0.457561,0.169106,3.162448,4.989687,1.000000,0.000000,86,667785.000000
1991-04-01,0.409457,0.137794,3.712493,6.091270,0.866025,-0.500000,87,670464.000000
1991-05-01,0.417685,0.155781,3.771413,7.217116,0.500000,-0.866025,88,673056.000000
1991-06-01,0.542137,0.155372,6.079480,7.641060,0.000000,-1.000000,89,675734.000000
1991-07-01,0.487141,0.149232,5.268155,7.378145,-0.500000,-0.866025,90,678326.000000
1991-08-01,0.507865,0.143524,4.695871,6.251603,-0.866025,-0.500000,91,681004.000000
1991-09-01,0.521455,0.142624,4.402153,5.081290,-1.000000,-0.000000,92,683683.000000
1991-10-01,0.478014,0.138973,2.529361,3.771371,-0.866025,0.500000,93,686275.000000
1991-11-01,0.415842,0.139517,1.661653,2.630340,-0.500000,0.866025,94,688953.000000
1991-12-01,0.420540,0.260028,1.367471,1.979535,-0.000000,1.000000,95,691545.000000
1992-01-01,0.437710,0.269670,1.687384,2.410532,0.500000,0.866025,96,694224.000000
1992-02-01,0.470475,0.236009,2.466255,3.618562,0.866025,0.500000,97,696902.000000
1992-03-01,0.471266,0.147310,3.440706,5.002990,1.000000,0.000000,98,699408.000000
1992-04-01,0.411931,0.137831,3.770893,6.201560,0.866025,-0.500000,99,702086.000000
1992-05-01,0.507962,0.156277,5.520113,7.291058,0.500000,-0.866025,100,704678.000000
1992-06-01,0.468469,0.155300,4.980620,7.321317,0.000000,-1.000000,101,707356.000000
1992-07-01,0.595903,0.147818,6.349145,7.235845,-0.500000,-0.866025,102,709948.000000
1992-08-01,0.613304,0.142031,6.180645,6.528435,-0.866025,-0.500000,103,712627.000000
1992-09-01,0.525473,0.144324,4.956603,5.400803,-1.000000,-0.000000,104,715305.000000
1992-10-01,0.410406,0.155742,2.334787,3.765168,-0.866025,0.500000,105,717897.000000
1992-11-01,0.421204,0.144225,1.729730,2.670517,-0.500000,0.866025,106,720576.000000
1992-12-01,0.429811,0.261880,1.453606,2.101977,-0.000000,1.000000,107,723168.000000
1993-01-01,0.487901,0.289727,1.924161,2.465274,0.500000,0.866025,108,725846.000000
1993-02-01,0.437339,0.229802,2.250107,3.293814,0.866025,0.500000,109,728524.000000
1993-03-01,0.455334,0.162805,3.393903,5.199310,1.000000,0.000000,110,730944.000000
1993-04-01,0.480944,0.145362,4.544563,6.263697,0.866025,-0.500000,111,733622.000000
1993-05-01,0.490001,0.156523,5.431835,7.354658,0.500000,-0.866025,112,736214.000000
1993-06-01,0.583625,0.155814,6.679320,7.829230,0.000000,-1.000000,113,738892.000000
1993-07-01,0.582375,0.149983,6.451777,7.822216,-0.500000,-0.866025,114,741484.000000
1993-08-01,0.594595,0.143181,5.908881,6.848161,-0.866025,-0.500000,115,744163.000000
1993-09-01,0.507086,0.145663,4.187210,5.266550,-1.000000,-0.000000,116,746841.000000
1993-10-01,0.493549,0.130989,2.871842,3.809068,-0.866025,0.500000,117,749433.000000
1993-11-01,0.431762,0.144836,1.786213,2.696230,-0.500000,0.866025,118,752112.000000
1993-12-01,0.411685,0.258809,1.334881,2.012387,-0.000000,1.000000,119,754704.000000
1994-01-01,0.407651,0.254716,1.419723,2.366100,0.500000,0.866025,120,757382.000000
1994-02-01,0.457080,0.239773,2.424793,3.603025,0.866025,0.500000,121,760060.000000
1994-03-01,0.476907,0.149213,3.572177,4.935639,1.000000,0.000000,122,762480.000000
1994-04-01,0.420969,0.137437,3.927610,6.268173,0.866025,-0.500000,123,765158.000000
1994-05-01,0.537385,0.158845,5.920719,7.555255,0.500000,-0.866025,124,767750.000000
1994-06-01,0.561560,0.155129,6.336150,7.995133,0.000000,-1.000000,125,770428.000000
1994-07-01,0.579710,0.148794,6.256039,7.567294,-0.500000,-0.866025,126,773020.000000
1994-08-01,0.596856,0.141957,5.946455,6.654600,-0.866025,-0.500000,127,775699.000000
1994-09-01,0.524052,0.146780,4.506607,5.249727,-1.000000,-0.000000,128,778377.000000
1994-10-01,0.498336,0.131044,2.911577,3.883303,-0.866025,0.500000,129,780969.000000
1994-11-01,0.461846,0.162117,1.836783,2.549953,-0.500000,0.866025,130,783648.000000
1994-12-01,0.344555,0.274052,1.167677,1.911119,-0.000000,1.000000,131,786240.000000
1995-01-01,0.437568,0.268809,1.649306,2.450465,0.500000,0.866025,132,788918.000000
1995-02-01,0.448883,0.221878,2.409461,3.526604,0.866025,0.500000,133,791596.000000
1995-03-01,0.436083,0.191720,2.771229,4.963842,1.000000,0.000000,134,794016.000000
1995-04-01,0.456545,0.143348,4.383573,6.620963,0.866025,-0.500000,135,796694.000000
1995-05-01,0.456516,0.156473,4.590494,7.234694,0.500000,-0.866025,136,799286.000000
1995-06-01,0.502920,0.155240,5.641493,7.633027,0.000000,-1.000000,137,801964.000000
1995-07-01,0.577644,0.148813,6.218158,7.521268,-0.500000,-0.866025,138,804556.000000
1995-08-01,0.507968,0.143663,4.804894,6.482710,-0.866025,-0.500000,139,807235.000000
1995-09-01,0.476613,0.140529,3.775800,5.371623,-1.000000,-0.000000,140,809913.000000
1995-10-01,0.538601,0.137938,3.499671,3.927306,-0.866025,0.500000,141,812505.000000
1995-11-01,0.412763,0.142690,1.724323,2.784993,-0.500000,0.866025,142,815184.000000
1995-12-01,0.345845,0.271731,1.146197,2.088742,-0.000000,1.000000,143,817776.000000
1996-01-01,0.403248,0.264514,1.460168,2.441613,0.500000,0.866025,144,820454.000000
1996-02-01,0.458894,0.308686,2.459762,3.685497,0.866025,0.500000,145,823132.000000
1996-03-01,0.449868,0.169570,3.266600,5.217052,1.000000,0.000000,146,825638.000000
1996-04-01,0.463730,0.145424,4.491487,6.794117,0.866025,-0.500000,147,828316.000000
1996-05-01,0.461604,0.156962,4.779784,7.464181,0.500000,-0.866025,148,830908.000000
1996-06-01,0.568937,0.156183,6.491360,7.856703,0.000000,-1.000000,149,833587.000000
1996-07-01,0.584224,0.147943,6.478006,7.631913,-0.500000,-0.866025,150,836179.000000
1996-08-01,0.509974,0.142599,4.958239,6.447774,-0.866025,-0.500000,151,838857.000000
