Date,ALLSKY_KT,ALLSKY_SRF_ALB,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
1984-01-01,,,1.457835,2.355387
1984-02-01,,,2.415914,3.657745
1984-03-01,,,3.416190,5.238439
1984-04-01,,,3.859410,6.342333
1984-05-01,,,5.453387,7.177468
1984-06-01,,,5.789533,7.439940
1984-07-01,,,5.855887,7.113626
1984-08-01,,,4.820361,6.203026
1984-09-01,,,4.123167,5.197603
1984-10-01,,,2.672577,3.733977
1984-11-01,,,1.994997,2.562260
1984-12-01,,,1.229145,1.911723
1985-01-01,,,1.740477,2.493890
1985-02-01,,,2.433143,3.625075
1985-03-01,,,3.154297,5.002590
1985-04-01,,,4.149933,6.446510
1985-05-01,,,5.236526,7.030139
1985-06-01,,,5.364117,7.327293
1985-07-01,,,6.113529,7.392513
1985-08-01,,,5.161294,6.389945
1985-09-01,,,4.503293,5.108370
1985-10-01,,,2.729248,3.680765
1985-11-01,,,1.549707,2.600523
1985-12-01,,,1.452274,2.058377
1986-01-01,,,1.529090,2.494065
1986-02-01,,,2.279707,3.489536
1986-03-01,,,2.683894,4.636503
1986-04-01,,,4.517917,6.158070
1986-05-01,,,5.158677,6.908503
1986-06-01,,,4.957027,7.032223
1986-07-01,,,5.031642,7.033235
1986-08-01,,,5.436452,6.157248
1986-09-01,,,4.418733,5.123160
1986-10-01,,,2.962116,3.761645
1986-11-01,,,1.820607,2.562373
1986-12-01,,,1.285468,1.953132
1987-01-01,,,1.380413,2.416526
1987-02-01,,,2.459104,3.606818
1987-03-01,,,3.514074,5.299948
1987-04-01,,,4.314170,6.654450
1987-05-01,,,4.551939,7.333310
1987-06-01,,,5.694433,7.442670
1987-07-01,,,6.231810,7.176948
1987-08-01,,,5.162161,6.077626
1987-09-01,,,4.467467,5.088957
1987-10-01,,,2.765077,3.686474
1987-11-01,,,1.432473,2.590443
1987-12-01,,,1.065542,1.962629
1988-01-01,,,1.419929,2.271368
1988-02-01,,,2.215221,3.570879
1988-03-01,,,3.021419,5.046829
1988-04-01,,,4.114290,6.357993
1988-05-01,,,5.033442,7.193845
1988-06-01,,,5.928320,7.584657
1988-07-01,,,6.765681,7.312352
1988-08-01,,,5.853939,6.530852
1988-09-01,,,3.650133,5.135897
1988-10-01,,,2.795342,3.810474
1988-11-01,,,1.561160,2.642820
1988-12-01,,,0.983742,1.916403
1989-01-01,,,1.750781,2.452303
1989-02-01,,,2.147596,3.453036
1989-03-01,,,3.273658,5.017519
1989-04-01,,,3.899627,6.179323
1989-05-01,,,4.714935,7.267048
1989-06-01,,,4.927593,7.672937
1989-07-01,,,5.849232,7.496461
1989-08-01,,,5.014419,6.258723
1989-09-01,,,3.717153,5.197073
1989-10-01,,,2.895465,3.870042
1989-11-01,,,1.837287,2.641570
1989-12-01,,,1.289613,1.938894
1990-01-01,,,1.850532,2.420216
1990-02-01,,,2.510632,3.354957
1990-03-01,,,3.454419,4.786965
1990-04-01,,,3.600960,6.215323
1990-05-01,,,5.022429,7.287671
1990-06-01,,,5.945583,7.666957
1990-07-01,,,6.503087,7.531803
1990-08-01,,,5.607868,6.650668
1990-09-01,,,3.699537,5.256867
1990-10-01,,,3.043177,3.762542
1990-11-01,,,1.567593,2.523500
1990-12-01,,,1.063335,1.927361
1991-01-01,,,1.450503,2.306303
1991-02-01,,,2.339571,3.602111
1991-03-01,,,3.162448,4.989687
1991-04-01,,,3.712493,6.091270
1991-05-01,,,3.771413,7.217116
1991-06-01,,,6.079480,7.641060
1991-07-01,,,5.268155,7.378145
1991-08-01,,,4.695871,6.251603
1991-09-01,,,4.402153,5.081290
1991-10-01,,,2.529361,3.771371
1991-11-01,,,1.661653,2.630340
1991-12-01,,,1.367471,1.979535
1992-01-01,,,1.687384,2.410532
1992-02-01,,,2.466255,3.618562
1992-03-01,,,3.440706,5.002990
1992-04-01,,,3.770893,6.201560
1992-05-01,,,5.520113,7.291058
1992-06-01,,,4.980620,7.321317
1992-07-01,,,6.349145,7.235845
1992-08-01,,,6.180645,6.528435
1992-09-01,,,4.956603,5.400803
1992-10-01,,,2.334787,3.765168
1992-11-01,,,1.729730,2.670517
1992-12-01,,,1.453606,2.101977
1993-01-01,,,1.924161,2.465274
1993-02-01,,,2.250107,3.293814
1993-03-01,,,3.393903,5.199310
1993-04-01,,,4.544563,6.263697
1993-05-01,,,5.431835,7.354658
1993-06-01,,,6.679320,7.829230
1993-07-01,,,6.451777,7.822216
1993-08-01,,,5.908881,6.848161
1993-09-01,,,4.187210,5.266550
1993-10-01,,,2.871842,3.809068
1993-11-01,,,1.786213,2.696230
1993-12-01,,,1.334881,2.012387
1994-01-01,,,1.419723,2.366100
1994-02-01,,,2.424793,3.603025
1994-03-01,,,3.572177,4.935639
1994-04-01,,,3.927610,6.268173
1994-05-01,,,5.920719,7.555255
1994-06-01,,,6.336150,7.995133
1994-07-01,,,6.256039,7.567294
1994-08-01,,,5.946455,6.654600
1994-09-01,,,4.506607,5.249727
1994-10-01,,,2.911577,3.883303
1994-11-01,,,1.836783,2.549953
1994-12-01,,,1.167677,1.911119
1995-01-01,,,1.649306,2.450465
1995-02-01,,,2.409461,3.526604
1995-03-01,,,2.771229,4.963842
1995-04-01,,,4.383573,6.620963
1995-05-01,,,4.590494,7.234694
1995-06-01,,,5.641493,7.633027
1995-07-01,,,6.218158,7.521268
1995-08-01,,,4.804894,6.482710
1995-09-01,,,3.775800,5.371623
1995-10-01,,,3.499671,3.927306
1995-11-01,,,1.724323,2.784993
1995-12-01,,,1.146197,2.088742
1996-01-01,,,1.460168,2.441613
1996-02-01,,,2.459762,3.685497
1996-03-01,,,3.266600,5.217052
1996-04-01,,,4.491487,6.794117
1996-05-01,,,4.779784,7.464181
1996-06-01,,,6.491360,7.856703
1996-07-01,,,6.478006,7.631913
1996-08-01,,,4.958239,6.447774
1996-09-01,,,3.103240,5.172540
1996-10-01,,,2.377142,3.878865
1996-11-01,,,1.746153,2.525177
1996-12-01,,,1.241558,2.044561
1997-01-01,,,1.610668,2.431632
1997-02-01,,,2.534904,3.559818
1997-03-01,,,3.337368,4.985281
1997-04-01,,,4.091750,6.731147
1997-05-01,,,5.844877,7.845519
1997-06-01,,,6.314150,7.706040
1997-07-01,,,5.382442,7.400652
1997-08-01,,,4.854635,6.394755
1997-09-01,,,4.236997,5.225493
1997-10-01,,,2.712968,4.021387
1997-11-01,,,1.795900,2.704393
1997-12-01,,,1.062742,2.035468
1998-01-01,,,1.668713,2.389110
1998-02-01,,,2.798039,3.580425
1998-03-01,,,3.694710,5.160639
1998-04-01,,,4.491863,6.512513
1998-05-01,,,5.776281,7.769294
1998-06-01,,,6.314480,7.805333
1998-07-01,,,6.510403,7.853477
1998-08-01,,,5.566755,6.693619
1998-09-01,,,3.628743,5.301403
1998-10-01,,,2.630313,3.844955
1998-11-01,,,1.544807,2.724380
1998-12-01,,,1.468600,2.148823
1999-01-01,,,1.601423,2.449535
1999-02-01,,,2.481796,3.639611
1999-03-01,,,3.485539,5.169171
1999-04-01,,,4.137583,6.526173
1999-05-01,,,5.390555,7.537903
1999-06-01,,,5.392033,7.953010
1999-07-01,,,5.769671,7.669794
1999-08-01,,,5.645403,6.547213
1999-09-01,,,4.086863,5.267160
1999-10-01,,,2.666184,3.863626
1999-11-01,,,1.615703,2.676340
1999-12-01,,,1.128155,2.086887
2000-01-01,,,1.814994,2.436635
2000-02-01,,,2.419117,3.590921
2000-03-01,,,3.578642,5.184194
2000-04-01,,,4.810543,6.497687
2000-05-01,,,6.484994,7.638790
2000-06-01,,,6.561260,8.075363
2000-07-01,,,6.429174,7.858042
2000-08-01,,,6.207003,6.757565
2000-09-01,,,3.608220,5.319963
2000-10-01,,,2.737242,3.904503
2000-11-01,,,1.717747,2.560827
2000-12-01,,,1.321406,1.997790
2001-01-01,0.325161,0.170000,1.174523,2.356655
2001-02-01,0.426429,0.178571,2.179161,3.578836
2001-03-01,0.453871,0.130323,3.308045,5.111490
2001-04-01,0.415000,0.145333,3.872213,6.585957
2001-05-01,0.485806,0.158387,5.306071,7.559694
2001-06-01,0.501667,0.157667,5.794390,8.149147
2001-07-01,0.533871,0.146452,5.975552,7.753777
2001-08-01,0.563871,0.140000,5.589206,6.589503
2001-09-01,0.470333,0.145667,3.737380,5.563753
2001-10-01,0.559677,0.142903,3.284032,3.937171
2001-11-01,0.375333,0.145333,1.549210,2.645097
2001-12-01,0.373226,0.370323,1.196855,2.139981
2002-01-01,0.440645,0.362258,1.638677,2.518029
2002-02-01,0.508929,0.190000,2.617275,3.589664
2002-03-01,0.461935,0.132581,3.364832,5.039532
2002-04-01,0.436333,0.135667,4.110433,6.344387
2002-05-01,0.484516,0.163226,5.265519,7.528490
2002-06-01,0.525000,0.159667,6.077070,8.037457
2002-07-01,0.500323,0.148387,5.625387,7.627842
2002-08-01,0.456129,0.154194,4.545187,6.715994
2002-09-01,0.425667,0.144333,3.465403,5.390623
2002-10-01,0.468065,0.127742,2.700161,3.975668
2002-11-01,0.411333,0.125000,1.653160,2.643370
2002-12-01,0.284839,0.221290,0.912858,2.030297
2003-01-01,0.331613,0.269355,1.211323,2.396135
2003-02-01,0.456786,0.334643,2.422300,3.662639
2003-03-01,0.495806,0.223548,3.620600,5.121142
2003-04-01,0.436667,0.139667,4.080163,6.599223
2003-05-01,0.540000,0.162581,5.862900,7.641958
2003-06-01,0.583333,0.155667,6.730093,8.082690
2003-07-01,0.552903,0.158065,6.197968,7.896429
2003-08-01,0.609677,0.139355,6.043577,6.811729
2003-09-01,0.470333,0.142000,3.762570,5.593843
2003-10-01,0.396129,0.129677,2.360700,4.001519
2003-11-01,0.437000,0.132333,1.759427,2.619170
2003-12-01,0.442581,0.272258,1.433458,2.088384
2004-01-01,0.359355,0.310323,1.323626,2.458871
2004-02-01,0.492414,0.344138,2.534383,3.663166
2004-03-01,0.482581,0.194839,3.567565,5.184197
2004-04-01,0.430667,0.128667,4.042533,6.473967
2004-05-01,0.467419,0.164516,5.113403,7.815923
2004-06-01,0.498000,0.155667,5.754043,8.178253
2004-07-01,0.520323,0.150645,5.844100,7.781423
2004-08-01,0.573226,0.146452,5.644352,6.967168
2004-09-01,0.501000,0.144333,4.035983,5.514383
2004-10-01,0.490000,0.130645,2.840932,3.932406
2004-11-01,0.421333,0.197333,1.698037,2.655120
2004-12-01,0.376452,0.195161,1.213642,2.065061
2005-01-01,0.415806,0.214839,1.500229,2.490687
2005-02-01,0.409286,0.349643,2.129507,3.704486
2005-03-01,0.501935,0.311613,3.656139,5.233216
2005-04-01,0.449333,0.139667,4.211643,6.631967
2005-05-01,0.481613,0.152258,5.261052,7.730555
2005-06-01,0.514333,0.163000,5.944053,8.173190
2005-07-01,0.519677,0.153226,5.773287,7.894716
2005-08-01,0.458065,0.151290,4.522813,6.811174
2005-09-01,0.430667,0.141000,3.483157,5.376697
2005-10-01,0.460968,0.123548,2.655826,3.900271
2005-11-01,0.410333,0.123333,1.687770,2.653873
2005-12-01,0.315806,0.181613,1.018455,2.058861
2006-01-01,0.448387,0.321935,1.684623,2.499435
2006-02-01,0.446786,0.325714,2.273211,3.611579
2006-03-01,0.420645,0.245484,3.106855,5.157906
2006-04-01,0.392333,0.137000,3.683503,6.419813
2006-05-01,0.524194,0.164516,5.739755,7.791842
2006-06-01,0.499333,0.147667,5.774140,8.090677
2006-07-01,0.545484,0.155484,6.093229,7.776803
2006-08-01,0.511935,0.150968,5.080171,6.997455
2006-09-01,0.526667,0.151667,4.281003,5.533460
2006-10-01,0.546774,0.135806,3.171926,4.022923
2006-11-01,0.507667,0.123000,2.034457,2.736707
2006-12-01,0.405806,0.185806,1.312894,2.082397
2007-01-01,0.444839,0.179677,1.630113,2.452935
2007-02-01,0.409643,0.188929,2.122371,3.560332
2007-03-01,0.461935,0.142581,3.332345,5.065639
2007-04-01,0.611667,0.145667,5.739090,6.752693
2007-05-01,0.480645,0.155161,5.247671,7.564248
2007-06-01,0.561667,0.147333,6.489327,8.107163
2007-07-01,0.630968,0.147742,7.074726,7.888513
2007-08-01,0.541935,0.134839,5.336442,6.717958
2007-09-01,0.478000,0.136333,3.782860,5.590097
2007-10-01,0.368710,0.127742,2.203787,3.831265
2007-11-01,0.363667,0.217667,1.464353,2.686463
2007-12-01,0.385161,0.291613,1.242206,2.133281
2008-01-01,0.499032,0.303871,1.834994,2.482523
2008-02-01,0.507586,0.180000,2.674683,3.612614
2008-03-01,0.470645,0.158065,3.464439,5.215974
2008-04-01,0.407667,0.142333,3.846367,6.486810
2008-05-01,0.532258,0.162903,5.838735,7.775029
2008-06-01,0.532667,0.152667,6.154487,8.146023
2008-07-01,0.540645,0.158387,6.059490,7.899548
2008-08-01,0.624516,0.145484,6.192042,6.937700
2008-09-01,0.424333,0.132000,3.452437,5.361367
2008-10-01,0.521613,0.122903,3.042584,3.838845
2008-11-01,0.431333,0.175333,1.747047,2.576020
2008-12-01,0.324516,0.190000,1.048929,2.041845
2009-01-01,0.394516,0.253548,1.426735,2.378665
2009-02-01,0.377143,0.230714,1.954757,3.573429
2009-03-01,0.366129,0.205806,2.684181,5.050952
2009-04-01,0.518667,0.136333,4.855220,6.551480
2009-05-01,0.550323,0.156452,6.013387,7.686681
2009-06-01,0.493000,0.157000,5.694520,8.133713
2009-07-01,0.602258,0.151290,6.723500,7.921055
2009-08-01,0.540968,0.144516,5.343261,6.675355
2009-09-01,0.516667,0.136000,4.082130,5.383303
2009-10-01,0.407097,0.125484,2.420013,3.864516
2009-11-01,0.455667,0.108000,1.802797,2.664850
2009-12-01,0.343548,0.295806,1.102800,2.025471
2010-01-01,0.339677,0.192903,1.238868,2.391365
2010-02-01,0.371429,0.292500,1.911950,3.586854
2010-03-01,0.435161,0.167097,3.212097,5.101829
2010-04-01,0.441333,0.142333,4.146327,6.560960
2010-05-01,0.441613,0.170645,4.815326,7.758416
2010-06-01,0.470333,0.156000,5.433877,8.153260
2010-07-01,0.532581,0.152903,5.961484,7.840542
2010-08-01,0.590000,0.150323,5.832203,6.982465
2010-09-01,0.503000,0.141667,4.015540,5.565143
2010-10-01,0.393871,0.136774,2.292458,3.940474
2010-11-01,0.470333,0.111000,1.939267,2.681423
2010-12-01,0.427097,0.223226,1.374210,2.090213
2011-01-01,0.432581,0.230323,1.572516,2.376652
2011-02-01,0.454286,0.232143,2.278964,3.603943
2011-03-01,0.432581,0.176129,3.164568,5.096284
2011-04-01,0.469000,0.144333,4.393100,6.542817
2011-05-01,0.471290,0.158387,5.156694,7.645242
2011-06-01,0.528333,0.165000,6.105933,8.170677
2011-07-01,0.550000,0.160323,6.168548,7.930506
2011-08-01,0.623548,0.150968,6.157232,7.033071
2011-09-01,0.553333,0.143000,4.440920,5.326680
2011-10-01,0.504839,0.140323,2.961800,4.019223
2011-11-01,0.541333,0.118000,2.210360,2.671117
2011-12-01,0.413226,0.200645,1.336045,2.100142
2012-01-01,0.352258,0.270968,1.287158,2.469100
2012-02-01,0.417586,0.407241,2.184079,3.665945
2012-03-01,0.584194,0.271935,4.258313,5.231987
2012-04-01,0.474333,0.146000,4.515140,6.781067
2012-05-01,0.446452,0.160968,4.855823,7.782413
2012-06-01,0.652000,0.162000,7.550533,8.417713
2012-07-01,0.614194,0.155806,6.875274,7.907881
2012-08-01,0.638710,0.147742,6.305232,6.821110
2012-09-01,0.572333,0.150667,4.543640,5.442940
2012-10-01,0.537419,0.136452,3.135300,4.000790
2012-11-01,0.420333,0.130333,1.709540,2.620213
2012-12-01,0.343871,0.286452,1.102732,2.101290
2013-01-01,0.358065,0.234516,1.316377,2.435194
2013-02-01,0.340714,0.257500,1.754164,3.557046
2013-03-01,0.441613,0.181935,3.198635,5.140697
2013-04-01,0.517000,0.140000,4.947310,6.750700
2013-05-01,0.507419,0.161613,5.543397,7.721806
2013-06-01,0.489000,0.154667,5.658277,8.155103
2013-07-01,0.598065,0.150645,6.690158,7.889852
2013-08-01,0.581935,0.150000,5.800684,6.796958
2013-09-01,0.525000,0.140333,4.215307,5.667610
2013-10-01,0.542581,0.122581,3.115610,4.003900
2013-11-01,0.373667,0.129000,1.528687,2.620267
2013-12-01,0.485161,0.196129,1.556474,2.148281
2014-01-01,0.421935,0.183548,1.534461,2.371284
2014-02-01,0.486786,0.164286,2.531907,3.560582
2014-03-01,0.501935,0.128065,3.697626,5.173429
2014-04-01,0.364667,0.137333,3.373947,6.451553
2014-05-01,0.463548,0.160323,5.069587,7.827719
2014-06-01,0.514000,0.159667,5.943250,8.234507
2014-07-01,0.522903,0.159677,5.868658,7.927806
2014-08-01,0.582258,0.148065,5.743781,6.959458
2014-09-01,0.402667,0.143000,3.167343,5.455453
2014-10-01,0.459355,0.124516,2.721313,3.933423
2014-11-01,0.400000,0.123000,1.652283,2.549897
2014-12-01,0.384516,0.209355,1.232168,2.060819
2015-01-01,0.392903,0.256129,1.424410,2.430923
2015-02-01,0.446071,0.217500,2.321018,3.576571
2015-03-01,0.400968,0.177419,2.947442,5.068752
2015-04-01,0.508333,0.148000,4.796827,6.834220
2015-05-01,0.497097,0.166129,5.415497,7.737377
2015-06-01,0.519667,0.157000,5.997763,8.187163
2015-07-01,0.631613,0.151613,7.070484,7.884735
2015-08-01,0.576129,0.147742,5.709416,6.873723
2015-09-01,0.472667,0.145000,3.844470,5.475213
2015-10-01,0.447419,0.127742,2.605848,3.969797
2015-11-01,0.519333,0.137000,2.170533,2.769203
2015-12-01,0.498710,0.154839,1.608845,2.138655
2016-01-01,0.401613,0.267097,1.474316,2.454923
2016-02-01,0.440690,0.194483,2.271800,3.496514
2016-03-01,0.397419,0.154516,2.927374,5.030274
2016-04-01,0.501667,0.150667,4.702793,6.709273
2016-05-01,0.462581,0.163548,5.092742,7.807194
2016-06-01,0.534333,0.154000,6.170413,8.129833
2016-07-01,0.573226,0.155161,6.409906,7.893623
2016-08-01,0.534194,0.145484,5.259548,6.912016
2016-09-01,0.534333,0.143667,4.217643,5.438343
2016-10-01,0.390968,0.132903,2.260539,3.940152
2016-11-01,0.448667,0.118000,1.793430,2.672437
2016-12-01,0.490323,0.152903,1.579335,2.189787
2017-01-01,0.435484,0.301613,1.624432,2.504865
2017-02-01,0.474286,0.189643,2.493446,3.535271
2017-03-01,0.488065,0.131935,3.619916,5.152219
2017-04-01,0.470000,0.135667,4.415553,6.696743
2017-05-01,0.482903,0.166129,5.277942,7.751016
2017-06-01,0.597667,0.157000,6.903650,8.217220
2017-07-01,0.599677,0.155161,6.710187,7.961394
2017-08-01,0.607097,0.145161,6.010594,6.867565
2017-09-01,0.495667,0.140667,4.007043,5.523057
2017-10-01,0.530968,0.130323,3.110306,4.018132
2017-11-01,0.388333,0.132667,1.582563,2.611040
2017-12-01,0.366452,0.203548,1.180677,2.126010
2018-01-01,0.424516,0.211935,1.579542,2.439174
2018-02-01,0.381786,0.245000,1.956314,3.570196
2018-03-01,0.399355,0.170323,2.919974,5.121277
2018-04-01,0.550000,0.141000,5.191883,6.539907
2018-05-01,0.567097,0.160323,6.207355,7.717374
2018-06-01,0.454000,0.159000,5.243203,8.054677
2018-07-01,0.482903,0.154194,5.398800,7.850010
2018-08-01,0.580323,0.140968,5.757771,6.778352
2018-09-01,0.580333,0.142000,4.627340,5.591360
2018-10-01,0.521290,0.130645,3.074923,3.901126
2018-11-01,0.437667,0.132333,1.802990,2.630433
2018-12-01,0.362903,0.207097,1.174829,2.106345
2019-01-01,0.339677,0.309355,1.254755,2.462087
2019-02-01,0.440000,0.246786,2.332043,3.623582
2019-03-01,0.544194,0.155484,4.001590,5.217568
2019-04-01,0.465333,0.139333,4.363873,6.570960
2019-05-01,0.408065,0.166452,4.450561,7.773900
2019-06-01,0.580000,0.158000,6.705957,8.174407
2019-07-01,0.552581,0.160323,6.192474,7.887671
2019-08-01,0.619032,0.149355,6.134890,6.973390
2019-09-01,0.548333,0.148333,4.383750,5.543533
2019-10-01,0.605806,0.134516,3.523700,4.075400
2019-11-01,0.402333,0.129333,1.613613,2.622180
2019-12-01,0.393871,0.200000,1.270645,2.092981
2020-01-01,0.526129,0.275484,1.921465,2.500477
2020-02-01,0.456207,0.183448,2.375552,3.634710
2020-03-01,0.464516,0.124839,3.414174,5.118468
2020-04-01,0.580000,0.139333,5.469230,6.857180
2020-05-01,0.440968,0.160000,4.812858,7.691406
2020-06-01,0.480667,0.158667,5.560877,8.220397
2020-07-01,0.567742,0.152903,6.347668,8.015403
2020-08-01,0.560968,0.150323,5.515303,6.933200
2020-09-01,0.584333,0.147667,4.687877,5.562390
2020-10-01,0.494194,0.131935,2.845255,3.952310
2020-11-01,0.446333,0.122000,1.798120,2.668903
2020-12-01,0.379677,0.173871,1.223848,2.050813
2021-01-01,0.384839,0.243871,1.416629,2.473981
2021-02-01,0.497500,0.166071,2.634157,3.649154
2021-03-01,0.450968,0.157742,3.254829,5.205668
2021-04-01,0.470667,0.147000,4.453417,6.779463
2021-05-01,0.536774,0.159032,5.858874,7.966713
2021-06-01,0.564667,0.170333,6.533600,8.205747
2021-07-01,0.561290,0.157742,6.273332,7.773277
2021-08-01,0.580968,0.157419,5.779961,6.913739
2021-09-01,0.536000,0.149000,4.306423,5.565737
2021-10-01,0.457742,0.138710,2.620377,4.008839
2021-11-01,0.427667,0.131000,1.743043,2.636760
2021-12-01,0.299355,0.191935,0.963639,2.084961
2022-01-01,0.433548,0.282903,1.596223,2.506229
2022-02-01,0.450000,0.234286,2.336864,3.643479
2022-03-01,0.526129,0.190968,3.883061,5.231516
2022-04-01,0.499667,0.139333,4.685577,6.791390
2022-05-01,0.559355,0.162903,6.111184,7.832877
2022-06-01,0.577333,0.156667,6.667450,8.221210
2022-07-01,0.624516,0.151613,6.989952,7.982577
2022-08-01,0.518387,0.145806,5.166506,6.816594
2022-09-01,0.470333,0.142333,3.746033,5.596037
2022-10-01,0.572258,0.135806,3.306300,3.998197
2022-11-01,0.383333,0.151667,1.590543,2.656560
2022-12-01,0.413871,0.183548,1.329606,2.039216
2023-01-01,0.351935,0.174516,1.265590,2.393548
2023-02-01,0.512857,0.250714,2.642682,3.596536
2023-03-01,0.480000,0.142903,3.539210,5.113139
2023-04-01,0.370333,0.136333,3.503177,6.683377
2023-05-01,0.406129,0.151613,4.434442,7.503139
2023-06-01,0.443667,0.159333,5.132370,8.014840
2023-07-01,0.627419,0.155806,7.029003,7.971771
2023-08-01,0.582581,0.147742,5.775852,6.945526
2023-09-01,0.555000,0.141333,4.452777,5.485597
2023-10-01,0.530323,0.134839,3.120306,3.997461
2023-11-01,0.409333,0.136333,1.695470,2.700273
2023-12-01,0.448710,0.148065,1.441081,2.115632
2024-01-01,0.418710,0.172903,1.548787,2.459758
2024-02-01,0.494483,0.148276,2.532931,3.529772
2024-03-01,0.480000,0.139355,3.554713,5.000752
2024-04-01,0.547667,0.156667,5.161517,6.764593
2024-05-01,0.481935,0.156129,5.275045,7.698574
2024-06-01,0.578667,0.161667,6.689500,8.150270
2024-07-01,0.617097,0.146774,6.893797,7.876152
2024-08-01,0.600645,0.142258,5.936352,6.772484
2024-09-01,0.485667,0.151333,3.867490,5.425257
2024-10-01,0.551935,0.130323,3.174810,3.969168
2024-11-01,0.497000,0.142667,2.020513,2.717033
2024-12-01,0.373548,0.225484,1.197429,2.067371
2025-01-01,0.415161,0.194194,1.524681,2.456500
2025-02-01,0.489286,0.187500,2.518786,3.587871
2025-03-01,0.466452,0.122258,3.339368,5.018568
2025-04-01,0.456333,0.144667,4.346730,6.623360
2025-05-01,0.501935,0.154194,5.478571,7.903432
2025-06-01,0.670000,0.159667,7.749847,8.297307
2025-07-01,0.566129,0.160645,6.349123,7.925726
2025-08-01,0.591290,0.142258,5.836419,6.913858
