model,family,params,train_time_s,inf_time_s,model_size_kb,MAE,MAPE(%),MSE,RMSE,MSLE,RMSLE,R2,Adj_R2,n_test,n_features,timestamp
lstm_1,LSTM,18482,1.884,0.002,75.4,0.5446443906916224,15.521090144973352,0.5062546877870352,0.7115157677711965,0.020897913171416586,0.14456110532026442,0.8688654991406473,0.8661335303727441,99,2,2026-09-03 17:27:44
lstm_2,LSTM,30514,3.123,0.0129,123.2,0.5433992798632612,14.596116312682774,0.5360792145895127,0.7321743061522391,0.020414703372631425,0.14288003139918268,0.8611453096645454,0.8582525036158901,99,2,2026-09-03 17:27:47
lstm_3,LSTM,33458,3.984,0.0039,135.6,0.5425294584137887,14.72438372839601,0.5105224557095344,0.7145085413831904,0.020118435855820477,0.14183947213600478,0.869330487180864,0.8666082056637987,99,2,2026-09-03 17:27:51
gru_1,GRU,14130,1.707,0.0018,58.4,0.6155470178261189,17.83644133337049,0.6052571809531455,0.7779827639177783,0.025569323704132438,0.15990410784008158,0.8443745726011647,0.8411323761970223,99,2,2026-09-03 17:27:55
gru_2,GRU,23026,2.866,0.0026,94.0,0.5144186807934155,14.122424405231824,0.4510563006316669,0.6716072517712022,0.018313399087132948,0.1353270079737705,0.8835559596591323,0.8811300421520308,99,2,2026-09-03 17:27:58
gru_3,GRU,25170,3.781,0.0037,103.2,0.5242673230340745,13.978211093833137,0.4745228960433051,0.6888562230562377,0.018340520581892276,0.13542717815081387,0.8771110203785644,0.8745508333031178,99,2,2026-09-03 17:28:01
cnn_1,CNN,1522,1.043,0.0021,8.7,1.5374266689755025,31.22704039630803,4.272362630634323,2.0669694314707034,0.14721265535978395,0.38368301416636097,-0.07096703979404173,-0.09327885312308437,99,2,2026-09-03 17:28:05
cnn_2,CNN,7186,2.128,0.0019,31.3,0.7706342382639105,21.690681320931883,0.9591081153751502,0.979340653386323,0.03556626115763998,0.1885901936942639,0.7582142008542178,0.7531769967053473,99,2,2026-09-03 17:28:07
cnn_3,CNN,8482,2.974,0.0023,36.8,0.5260585784194638,15.407461547020882,0.44955164806952264,0.670486128170839,0.01878288983002639,0.13705068343509413,0.8842838728708695,0.881873120222346,99,2,2026-09-03 17:28:10
tcn_1,TCN,17906,7.039,0.0119,74.1,0.746990551091512,18.395002339997042,1.0064406737089218,1.0032151682011798,0.034430581046146734,0.1855547925712153,0.7444258165940243,0.7391013544397331,99,2,2026-09-03 17:28:19
tcn_2,TCN,25682,12.371,0.0205,106.4,0.4952465126241049,13.03335607926018,0.4536707826576446,0.6735508760722122,0.018018374404914578,0.13423253854753167,0.8818955101057291,0.8794349998995985,99,2,2026-09-03 17:28:32
tcn_3,TCN,27522,16.585,0.034,115.5,0.6256332918958183,18.7711836096163,0.6468662251277337,0.8042799420150509,0.028177268424256018,0.16786086031072286,0.8352549081095813,0.8318227186951975,99,2,2026-09-03 17:28:48
cnn_gru_1,CNN-GRU,10418,1.884,0.0017,45.0,0.51101110659948,13.732410578921872,0.4486512636734765,0.669814350154934,0.018283823917721754,0.13521769084599009,0.8832860347145989,0.880854493771153,99,2,2026-09-03 17:28:59
cnn_gru_2,CNN-GRU,12562,2.346,0.002,54.5,0.45093448043152795,12.362759136500031,0.33331624747366173,0.577335472211488,0.013875681631796238,0.11779508322420014,0.9129110705723564,0.9110967178759471,99,2,2026-09-03 17:29:01
