family,model,MAE,MAPE(%),MSE,RMSE,MSLE,RMSLE,R2,Adj_R2,params,train_time_s,inf_time_s,n_test,n_features
XGBoost,xgboost,0.0850354926247128,2.120879771715091,0.0168128334813564,0.1296643107464671,0.0006024442241227,0.0245447392351752,0.9953984446280876,0.9951078200782828,200,0.141,0.0018,102,6
TCN-GNN,tcn_gnn,0.2730302614747635,7.109679731058917,0.1469208917308493,0.3833026111714468,0.0050947584925888,0.0713775769593564,0.958605343093874,0.9559056915565178,2106,3.545,0.0051,99,6
CNN-GRU,cnn_gru_2,0.4509344804315279,12.362759136500031,0.3333162474736617,0.577335472211488,0.0138756816317962,0.1177950832242001,0.9129110705723564,0.9110967178759471,12562,2.346,0.002,99,2
TCN-LSTM,tcn_lstm_1,0.4815900054074296,12.984780006961438,0.3753277101891498,0.6126399515124277,0.0155201135734485,0.1245797478463034,0.9016657470017388,0.8996171167309417,29938,8.639,0.0137,99,2
CNN-LSTM,cnn_lstm_2,0.4767132228727244,12.539501062674994,0.3826671628970177,0.6186009722729328,0.0140432529332233,0.118504231710194,0.9010507395294662,0.8989892966029968,16498,2.423,0.0022,99,2
TCN-GRU,tcn_gru_2,0.4907275428471035,13.75134259822637,0.3857699300534948,0.6211037997416332,0.0165415645960261,0.1286140139954669,0.9005177233152295,0.8984451758842968,28946,9.298,0.0136,99,2
CNN,cnn_3,0.5260585784194638,15.407461547020882,0.4495516480695226,0.670486128170839,0.0187828898300263,0.1370506834350941,0.8842838728708695,0.881873120222346,8482,2.974,0.0023,99,2
ANN,ann_3,0.5319589800152634,13.962557264172698,0.4491459246728082,0.6701835007464808,0.0168795698826534,0.1299213988635182,0.8839433409199864,0.8815254938558195,4514,0.391,0.0004,99,2
GRU,gru_2,0.5144186807934155,14.122424405231824,0.4510563006316669,0.6716072517712022,0.0183133990871329,0.1353270079737705,0.8835559596591323,0.8811300421520308,23026,2.866,0.0026,99,2
TCN,tcn_2,0.4952465126241049,13.03335607926018,0.4536707826576446,0.6735508760722122,0.0180183744049145,0.1342325385475316,0.8818955101057291,0.8794349998995985,25682,12.371,0.0205,99,2
LSTM-GRU,lstm_gru_1,0.533041575232265,16.06945752402307,0.4588496607209583,0.6773844260986212,0.0211320653874432,0.1453687221772389,0.8810732995575308,0.8785956599649793,27378,2.998,0.003,99,2
LSTM,lstm_3,0.5425294584137887,14.72438372839601,0.5105224557095344,0.7145085413831904,0.0201184358558204,0.1418394721360047,0.869330487180864,0.8666082056637987,33458,3.984,0.0039,99,2
